FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
37141,"Pender County, North Carolina",NORTH CAROLINA,12.46%,17.85%,9.47%,0.55,Moderate Vulnerability,0.49,Moderate Concern,40.40%,7.06%,0.32%,0.40%,14.26%,0.08%,75.07%
38047,"Logan County, North Dakota",NORTH DAKOTA,12.36%,16.63%,8.35%,0.04,Very Low Vulnerability,0.09,Very Low Concern,33.10%,0.85%,0.21%,0.11%,0%,0%,97.06%
38035,"Grand Forks County, North Dakota",NORTH DAKOTA,11.99%,16.80%,8.10%,0.3,Low Vulnerability,0.12,Very Low Concern,51.70%,4.29%,2.42%,2.78%,3.69%,0.58%,83.71%
38091,"Steele County, North Dakota",NORTH DAKOTA,11.99%,16.80%,8.10%,0,Very Low Vulnerability,0.11,Very Low Concern,45.60%,1.72%,0%,0%,0.75%,0%,97.53%
39027,"Clinton County, Ohio",OHIO,17.02%,23.69%,10.50%,0.44,Moderate Vulnerability,0.18,Very Low Concern,42.90%,1.61%,0.01%,0.48%,2.04%,0.02%,93.35%
39049,"Franklin County, Ohio",OHIO,12.67%,18.15%,7.41%,0.51,Moderate Vulnerability,0.09,Very Low Concern,55.90%,5.52%,0.15%,5.23%,22.30%,0.03%,63.01%
38077,"Richland County, North Dakota",NORTH DAKOTA,13.95%,19.01%,9.63%,0.12,Very Low Vulnerability,0.18,Very Low Concern,49.30%,3.15%,1.78%,0.38%,0.69%,0%,91.27%
39005,"Ashland County, Ohio",OHIO,14.87%,20.68%,8.99%,0.43,Moderate Vulnerability,0.36,Low Concern,37%,1.38%,0.03%,0.66%,0.74%,0%,95.60%
47063,"Hamblen County, Tennessee",TENNESSEE,15.19%,22.46%,9.67%,0.81,Very High Vulnerability,0.72,High Concern,32.90%,11.71%,0.30%,0.86%,3.72%,0.29%,81.47%
41055,"Sherman County, Oregon",OREGON,11.46%,14.31%,8.69%,0.14,Very Low Vulnerability,0.67,High Concern,48.40%,4.93%,0.73%,0.12%,0.18%,1.40%,89.34%
40009,"Beckham County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.71,High Vulnerability,0.62,High Concern,35.60%,14.55%,2.22%,0.34%,4.20%,0.07%,75.29%
39149,"Shelby County, Ohio",OHIO,14.30%,19.69%,8.54%,0.19,Very Low Vulnerability,0.13,Very Low Concern,34.40%,1.55%,0.25%,1.17%,2.52%,0%,92.87%
39175,"Wyandot County, Ohio",OHIO,14.68%,20.64%,8.80%,0.23,Low Vulnerability,0.06,Very Low Concern,44.80%,3%,0%,0.83%,0.16%,0%,94.98%
39151,"Stark County, Ohio",OHIO,14.19%,19.92%,8.43%,0.37,Low Vulnerability,0.05,Very Low Concern,48.10%,2.08%,0.11%,0.91%,7.42%,0.01%,86.38%
40029,"Coal County, Oklahoma",OKLAHOMA,20.29%,26.52%,14.11%,0.83,Very High Vulnerability,0.85,Very High Concern,34.70%,4.66%,9.91%,0.43%,0.20%,0%,68.39%
39129,"Pickaway County, Ohio",OHIO,15.91%,21.70%,9.68%,0.28,Low Vulnerability,0.12,Very Low Concern,43.80%,1.39%,0.28%,0.64%,3.31%,0%,92.63%
40145,"Wagoner County, Oklahoma",OKLAHOMA,17.62%,23.04%,12.03%,0.42,Moderate Vulnerability,0.52,Moderate Concern,37.10%,6.20%,8.57%,1.45%,3.49%,0.08%,71.49%
41021,"Gilliam County, Oregon",OREGON,11.46%,14.31%,8.69%,0.51,Moderate Vulnerability,0.58,Moderate Concern,37.20%,6.12%,3.94%,0.80%,0%,0.69%,87.97%
39141,"Ross County, Ohio",OHIO,16.65%,23%,10.22%,0.73,High Vulnerability,0.11,Very Low Concern,44.30%,1.27%,0.01%,0.51%,5.11%,0.02%,89.60%
40017,"Canadian County, Oklahoma",OKLAHOMA,18.48%,23.64%,12.70%,0.26,Low Vulnerability,0.44,Moderate Concern,46.70%,8.99%,3.88%,2.97%,2.78%,0%,76.15%
40111,"Okmulgee County, Oklahoma",OKLAHOMA,19.82%,26.20%,13.76%,0.87,Very High Vulnerability,0.81,Very High Concern,33.60%,4.19%,13.86%,0.44%,8.07%,0%,62.24%
40039,"Custer County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.75,High Vulnerability,0.55,Moderate Concern,40.30%,18.26%,3.38%,1.13%,3.09%,0.03%,68.23%
40081,"Lincoln County, Oklahoma",OKLAHOMA,19.05%,24.94%,13.24%,0.48,Moderate Vulnerability,0.59,Moderate Concern,32%,3.44%,7.10%,0.26%,1.89%,0.09%,82.19%
39159,"Union County, Ohio",OHIO,15.91%,21.70%,9.68%,0.08,Very Low Vulnerability,0.05,Very Low Concern,56.40%,1.73%,0.34%,4%,2.56%,0.08%,89.53%
40137,"Stephens County, Oklahoma",OKLAHOMA,19.75%,26.04%,13.63%,0.61,High Vulnerability,0.62,High Concern,39.60%,7.77%,4.89%,0.54%,1.70%,0.08%,80.15%
41013,"Crook County, Oregon",OREGON,11.46%,14.31%,8.69%,0.57,Moderate Vulnerability,0.46,Moderate Concern,42.30%,7.62%,0.79%,0.35%,0.55%,0.44%,88.20%
40093,"Major County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.32,Low Vulnerability,0.49,Moderate Concern,42.50%,9.66%,1.38%,0.87%,0.42%,0.12%,84.76%
41065,"Wasco County, Oregon",OREGON,11.46%,14.31%,8.69%,0.84,Very High Vulnerability,0.63,High Concern,56.50%,18.20%,2.96%,0.91%,0.30%,0.59%,74.56%
40047,"Garfield County, Oklahoma",OKLAHOMA,18.46%,24.15%,12.65%,0.59,Moderate Vulnerability,0.51,Moderate Concern,38%,12.43%,1.69%,0.90%,2.40%,3.40%,74.34%
41035,"Klamath County, Oregon",OREGON,12.22%,15.69%,9.19%,0.87,Very High Vulnerability,0.58,Moderate Concern,42.90%,13.06%,3.92%,1.02%,0.67%,0.06%,77.85%
40103,"Noble County, Oklahoma",OKLAHOMA,18.46%,24.15%,12.65%,0.34,Low Vulnerability,0.63,High Concern,50.70%,3.87%,6.35%,0.08%,0.26%,0.04%,81.02%
41037,"Lake County, Oregon",OREGON,12.22%,15.69%,9.19%,0.76,High Vulnerability,0.75,High Concern,34.10%,8.17%,2.41%,0.98%,0.34%,0%,84.45%
41003,"Benton County, Oregon",OREGON,10.70%,13.45%,8.04%,0.35,Low Vulnerability,0.44,Moderate Concern,66.60%,7.40%,0.53%,7.06%,1.03%,0.23%,80.22%
39103,"Medina County, Ohio",OHIO,12.04%,16.22%,7.12%,0.01,Very Low Vulnerability,0.02,Very Low Concern,58.50%,2.11%,0.11%,1.11%,1.44%,0%,93.83%
40073,"Kingfisher County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.38,Low Vulnerability,0.53,Moderate Concern,37.30%,15.94%,2.94%,0.38%,1.20%,0%,76.32%
39113,"Montgomery County, Ohio",OHIO,13.57%,19.16%,8%,0.67,High Vulnerability,0.13,Very Low Concern,50.20%,3%,0.18%,2.16%,20.28%,0.03%,70.72%
40045,"Ellis County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.3,Low Vulnerability,0.59,Moderate Concern,31.50%,7.15%,1.94%,0.67%,0.17%,0%,86.45%
41005,"Clackamas County, Oregon",OREGON,9.77%,11.90%,7.38%,0.19,Very Low Vulnerability,0.36,Low Concern,57.40%,8.69%,0.61%,4.21%,0.88%,0.22%,81.91%
40095,"Marshall County, Oklahoma",OKLAHOMA,20.29%,26.52%,14.11%,0.85,Very High Vulnerability,0.81,Very High Concern,37.20%,17.70%,6.95%,0.21%,1.71%,0%,65.10%
40129,"Roger Mills County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.4,Moderate Vulnerability,0.6,High Concern,31.90%,7.20%,5.67%,0%,0.25%,0%,83.61%
40001,"Adair County, Oklahoma",OKLAHOMA,21.43%,28.74%,14.69%,0.9,Very High Vulnerability,0.99,Very High Concern,25.90%,6.83%,42.92%,0.80%,0.14%,0.22%,39.89%
40065,"Jackson County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.82,Very High Vulnerability,0.8,Very High Concern,43.10%,24.11%,1.52%,1.23%,6.54%,0.06%,62.72%
39143,"Sandusky County, Ohio",OHIO,13.04%,18.14%,7.70%,0.4,Low Vulnerability,0.08,Very Low Concern,49.20%,9.92%,0.25%,0.31%,2.95%,0.02%,84.39%
41045,"Malheur County, Oregon",OREGON,12.22%,15.69%,9.19%,1,Very High Vulnerability,0.62,High Concern,38.80%,33.73%,0.82%,1.36%,0.98%,0.10%,61.13%
39167,"Washington County, Ohio",OHIO,14.77%,20.38%,8.94%,0.35,Low Vulnerability,0.19,Very Low Concern,47.80%,1.10%,0.42%,0.64%,1.23%,0%,95.06%
40109,"Oklahoma County, Oklahoma",OKLAHOMA,16.79%,22.73%,11.37%,0.68,High Vulnerability,0.47,Moderate Concern,51%,17.38%,2.58%,3.35%,14.75%,0.07%,55.99%
40055,"Greer County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.77,High Vulnerability,0.91,Very High Concern,30.90%,11.41%,2.78%,0%,6.31%,0%,74.54%
40119,"Payne County, Oklahoma",OKLAHOMA,18.70%,25.29%,13.07%,0.51,Moderate Vulnerability,0.67,High Concern,38.40%,4.72%,4.01%,4.29%,3.94%,0.09%,76.93%
39119,"Muskingum County, Ohio",OHIO,16.63%,23.21%,10.12%,0.6,Moderate Vulnerability,0.16,Very Low Concern,45.50%,1.12%,0.26%,0.45%,3.13%,0.04%,91.40%
40031,"Comanche County, Oklahoma",OKLAHOMA,20.35%,27.88%,13.97%,0.84,Very High Vulnerability,0.71,High Concern,41.10%,13.10%,4.40%,2.38%,15.52%,0.38%,56.19%
41053,"Polk County, Oregon",OREGON,10.84%,13.48%,8.18%,0.58,Moderate Vulnerability,0.52,Moderate Concern,54.60%,13.90%,1.78%,1.83%,0.79%,0.47%,78.08%
40143,"Tulsa County, Oklahoma",OKLAHOMA,16.69%,22.17%,11.39%,0.62,High Vulnerability,0.54,Moderate Concern,48.30%,12.73%,4.67%,3.31%,9.92%,0.09%,61.98%
41019,"Douglas County, Oregon",OREGON,12.24%,15.42%,9.25%,0.73,High Vulnerability,0.49,Moderate Concern,44.30%,5.81%,0.89%,0.99%,0.42%,0.06%,87.84%
40079,"Le Flore County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.9,Very High Vulnerability,0.92,Very High Concern,31.90%,7.02%,10.90%,0.68%,1.88%,0%,71.34%
40117,"Pawnee County, Oklahoma",OKLAHOMA,19.59%,25.44%,13.73%,0.54,Moderate Vulnerability,0.68,High Concern,39.80%,3.09%,10.88%,0.37%,1%,0.02%,76.66%
39127,"Perry County, Ohio",OHIO,16.63%,23.21%,10.12%,0.55,Moderate Vulnerability,0.43,Moderate Concern,36.20%,0.86%,0.34%,0.13%,0.37%,0.15%,96.61%
41029,"Jackson County, Oregon",OREGON,11.40%,14.39%,8.55%,0.74,High Vulnerability,0.4,Low Concern,48.20%,12.83%,1.06%,1.27%,0.68%,0.34%,80.83%
40007,"Beaver County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.46,Moderate Vulnerability,0.75,High Concern,27.40%,23.82%,1.36%,0.04%,0.58%,0%,72.16%
41039,"Lane County, Oregon",OREGON,10.66%,13.53%,7.95%,0.65,High Vulnerability,0.55,Moderate Concern,58.20%,8.87%,0.89%,2.66%,1.01%,0.24%,81.82%
40071,"Kay County, Oklahoma",OKLAHOMA,18.46%,24.15%,12.65%,0.84,Very High Vulnerability,0.7,High Concern,35.70%,8%,8.24%,0.42%,2.04%,0%,74.56%
41027,"Hood River County, Oregon",OREGON,11.46%,14.31%,8.69%,0.55,Moderate Vulnerability,0.48,Moderate Concern,76.30%,31.42%,0.56%,1.63%,0.59%,0%,63.73%
40135,"Sequoyah County, Oklahoma",OKLAHOMA,21.43%,28.74%,14.69%,0.92,Very High Vulnerability,0.84,Very High Concern,30.80%,4.20%,19.70%,0.80%,1.77%,0.06%,62.46%
39105,"Meigs County, Ohio",OHIO,14.80%,21.38%,8.93%,0.68,High Vulnerability,0.47,Moderate Concern,38.60%,0.74%,0.06%,0%,1.11%,0%,96.65%
39165,"Warren County, Ohio",OHIO,11.51%,15.63%,6.87%,0.05,Very Low Vulnerability,0.01,Very Low Concern,58.80%,2.76%,0.07%,5.75%,3.31%,0%,86.17%
39169,"Wayne County, Ohio",OHIO,15.42%,21.10%,9.69%,0.48,Moderate Vulnerability,0.39,Low Concern,41.40%,2.01%,0.19%,1.04%,1.35%,0.01%,93.67%
40015,"Caddo County, Oklahoma",OKLAHOMA,19.75%,26.04%,13.63%,0.95,Very High Vulnerability,0.88,Very High Concern,53.90%,12.92%,20.86%,0.27%,2.23%,0.14%,56.79%
40053,"Grant County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.16,Very Low Vulnerability,0.37,Low Concern,35.30%,5.05%,1.64%,0.18%,0.93%,0.09%,88.01%
39135,"Preble County, Ohio",OHIO,14.30%,19.69%,8.54%,0.17,Very Low Vulnerability,0.18,Very Low Concern,38.60%,0.90%,0.15%,0.44%,0.49%,0.01%,96.37%
39145,"Scioto County, Ohio",OHIO,15.70%,21.95%,9.57%,0.83,Very High Vulnerability,0.32,Low Concern,40.40%,1.35%,0.33%,0.42%,2.76%,0.01%,93.29%
40013,"Bryan County, Oklahoma",OKLAHOMA,20.29%,26.52%,14.11%,0.81,Very High Vulnerability,0.77,High Concern,31.50%,5.97%,14.09%,0.61%,1.75%,0.15%,71.03%
40043,"Dewey County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.22,Low Vulnerability,0.51,Moderate Concern,25.30%,7.54%,4.67%,0.12%,0.16%,0%,81.98%
41007,"Clatsop County, Oregon",OREGON,11.32%,14.14%,8.51%,0.52,Moderate Vulnerability,0.49,Moderate Concern,54.90%,8.51%,0.36%,0.99%,0.80%,0.30%,85.52%
39155,"Trumbull County, Ohio",OHIO,14.80%,21.01%,8.92%,0.46,Moderate Vulnerability,0.29,Low Concern,47.80%,1.82%,0.09%,0.52%,8.10%,0.03%,87.12%
40067,"Jefferson County, Oklahoma",OKLAHOMA,19.75%,26.04%,13.63%,0.87,Very High Vulnerability,0.91,Very High Concern,37.50%,10.57%,5.55%,0.02%,1.38%,0%,77.75%
39125,"Paulding County, Ohio",OHIO,14.16%,19.76%,8.48%,0.29,Low Vulnerability,0.26,Low Concern,41.40%,4.76%,0.15%,0.22%,0.78%,0.08%,92.51%
40033,"Cotton County, Oklahoma",OKLAHOMA,19.75%,26.04%,13.63%,0.67,High Vulnerability,0.87,Very High Concern,36%,7.95%,8.98%,0%,2.27%,0%,76%
41059,"Umatilla County, Oregon",OREGON,11.48%,14.53%,8.80%,0.97,Very High Vulnerability,0.73,High Concern,44.40%,26.79%,2.48%,1%,0.93%,0.26%,65.72%
40023,"Choctaw County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.96,Very High Vulnerability,0.91,Very High Concern,27%,4.38%,14.93%,0.09%,10.83%,0.17%,60.63%
40097,"Mayes County, Oklahoma",OKLAHOMA,20.03%,26.36%,13.86%,0.75,High Vulnerability,0.71,High Concern,32.80%,3.60%,17.37%,0.42%,0.49%,0.35%,64.86%
40151,"Woods County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.31,Low Vulnerability,0.75,High Concern,33.90%,7.31%,1.42%,1.17%,2.72%,0%,82.93%
40087,"McClain County, Oklahoma",OKLAHOMA,18.95%,24.35%,13.17%,0.16,Very Low Vulnerability,0.34,Low Concern,42.20%,8.03%,5.74%,0.29%,1.07%,0.06%,79.17%
40077,"Latimer County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.89,Very High Vulnerability,0.86,Very High Concern,28.30%,3.79%,20.35%,0.92%,1.09%,0%,64.73%
39115,"Morgan County, Ohio",OHIO,14.77%,20.38%,8.94%,0.57,Moderate Vulnerability,0.53,Moderate Concern,38.20%,0.40%,0.07%,0.20%,4.92%,0%,92.11%
40003,"Alfalfa County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.25,Low Vulnerability,0.64,High Concern,42.30%,5.63%,1.83%,0%,3.10%,0%,83.84%
40121,"Pittsburg County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.83,Very High Vulnerability,0.74,High Concern,36.10%,5.07%,5.94%,0.35%,2.81%,0.11%,69.46%
40131,"Rogers County, Oklahoma",OKLAHOMA,17.70%,23.11%,12.07%,0.28,Low Vulnerability,0.49,Moderate Concern,36.60%,4.76%,12.41%,1.41%,0.99%,0.07%,71.80%
41051,"Multnomah County, Oregon",OREGON,9.25%,11.69%,6.77%,0.47,Moderate Vulnerability,0.57,Moderate Concern,66.90%,11.59%,0.69%,7.35%,5.31%,0.61%,69.69%
40107,"Okfuskee County, Oklahoma",OKLAHOMA,18.70%,25.29%,13.07%,0.93,Very High Vulnerability,0.91,Very High Concern,39.70%,3.99%,14.55%,0%,7.38%,0%,61.29%
40057,"Harmon County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.81,Very High Vulnerability,0.82,Very High Concern,41.20%,29.11%,0.44%,0.74%,9.37%,0%,56.83%
40141,"Tillman County, Oklahoma",OKLAHOMA,19.75%,26.04%,13.63%,0.87,Very High Vulnerability,0.84,Very High Concern,39.60%,27.05%,2.67%,0.22%,7.49%,0%,59.17%
41031,"Jefferson County, Oregon",OREGON,11.46%,14.31%,8.69%,0.91,Very High Vulnerability,0.67,High Concern,52.70%,19.97%,15.77%,0.62%,0.76%,0.09%,60.41%
41041,"Lincoln County, Oregon",OREGON,11.32%,14.14%,8.51%,0.55,Moderate Vulnerability,0.56,Moderate Concern,61.90%,9.16%,2.46%,1.24%,0.45%,0.20%,82.46%
39107,"Mercer County, Ohio",OHIO,13.41%,18.49%,7.98%,0.05,Very Low Vulnerability,0.06,Very Low Concern,39.10%,1.93%,0%,0.56%,0.82%,0.58%,95.38%
40085,"Love County, Oklahoma",OKLAHOMA,20.75%,26.98%,14.52%,0.63,High Vulnerability,0.67,High Concern,36.30%,15.70%,5.23%,0.81%,2.61%,0%,70.96%
39171,"Williams County, Ohio",OHIO,14.16%,19.76%,8.48%,0.27,Low Vulnerability,0.1,Very Low Concern,42.30%,4.51%,0.26%,0.57%,1.07%,0.03%,92.60%
40149,"Washita County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.4,Moderate Vulnerability,0.7,High Concern,32.90%,9.78%,1.60%,0.07%,1.27%,0%,83.38%
41017,"Deschutes County, Oregon",OREGON,9.96%,12.15%,7.39%,0.16,Very Low Vulnerability,0.3,Low Concern,60.20%,7.97%,0.55%,1.08%,0.58%,0.16%,87.25%
41061,"Union County, Oregon",OREGON,11.48%,14.53%,8.80%,0.67,High Vulnerability,0.44,Moderate Concern,41.50%,4.84%,0.82%,1.07%,0.66%,1.46%,88.72%
40021,"Cherokee County, Oklahoma",OKLAHOMA,21.43%,28.74%,14.69%,0.93,Very High Vulnerability,0.78,High Concern,34.80%,7.16%,32.84%,0.74%,1.31%,0.29%,47.57%
40051,"Grady County, Oklahoma",OKLAHOMA,18.95%,24.35%,13.17%,0.31,Low Vulnerability,0.57,Moderate Concern,31%,5.82%,4.69%,0.41%,2.34%,0%,81.47%
39137,"Putnam County, Ohio",OHIO,12.85%,17.78%,7.65%,0.02,Very Low Vulnerability,0.09,Very Low Concern,49%,6.20%,0.01%,0.16%,0.39%,0%,92.01%
40115,"Ottawa County, Oklahoma",OKLAHOMA,20.03%,26.36%,13.86%,0.96,Very High Vulnerability,0.77,High Concern,27.30%,5.72%,17.73%,0.72%,1.08%,0.68%,65.01%
40025,"Cimarron County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.45,Moderate Vulnerability,0.73,High Concern,26.60%,22.40%,0.37%,0.28%,0.18%,0%,76.63%
40059,"Harper County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.32,Low Vulnerability,0.6,High Concern,40.90%,22.31%,0.37%,0%,0.03%,0%,75.82%
39133,"Portage County, Ohio",OHIO,13.43%,18.79%,8.02%,0.25,Low Vulnerability,0.14,Very Low Concern,49.10%,1.85%,0.15%,1.79%,3.97%,0.01%,89.58%
41025,"Harney County, Oregon",OREGON,12.22%,15.69%,9.19%,0.71,High Vulnerability,0.43,Moderate Concern,38.50%,5.11%,1.38%,0%,0.48%,0.03%,87.04%
39163,"Vinton County, Ohio",OHIO,16.86%,23.37%,10.43%,0.72,High Vulnerability,0.49,Moderate Concern,34.30%,0.69%,0.05%,0.18%,0.26%,0%,96.51%
39123,"Ottawa County, Ohio",OHIO,12.16%,16.83%,7.22%,0.15,Very Low Vulnerability,0.09,Very Low Concern,54.50%,5.05%,0.27%,0.21%,1.22%,0%,92.29%
40069,"Johnston County, Oklahoma",OKLAHOMA,20.29%,26.52%,14.11%,0.85,Very High Vulnerability,0.76,High Concern,35.80%,5.41%,6.89%,0.09%,1.84%,0%,69.52%
41057,"Tillamook County, Oregon",OREGON,11.32%,14.14%,8.51%,0.66,High Vulnerability,0.61,High Concern,57.30%,10.33%,0.89%,0.69%,0.39%,0.47%,84.35%
40011,"Blaine County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.67,High Vulnerability,0.63,High Concern,39.20%,11.12%,7.11%,0.02%,3.95%,0%,72.69%
40123,"Pontotoc County, Oklahoma",OKLAHOMA,20.38%,26.61%,14.19%,0.65,High Vulnerability,0.5,Moderate Concern,44.20%,5.37%,12.48%,0.78%,2.42%,0.09%,65.40%
40099,"Murray County, Oklahoma",OKLAHOMA,20.75%,26.98%,14.52%,0.71,High Vulnerability,0.73,High Concern,39.60%,6.63%,9.77%,0.62%,1.58%,0%,72.01%
40133,"Seminole County, Oklahoma",OKLAHOMA,18.70%,25.29%,13.07%,0.93,Very High Vulnerability,0.83,Very High Concern,42%,5.14%,19.69%,0.54%,4.68%,0.01%,64.43%
40005,"Atoka County, Oklahoma",OKLAHOMA,20.29%,26.52%,14.11%,0.81,Very High Vulnerability,0.94,Very High Concern,30.30%,3.52%,10.10%,0.72%,3.56%,0.07%,70.98%
39153,"Summit County, Ohio",OHIO,12.80%,18.27%,7.58%,0.33,Low Vulnerability,0.08,Very Low Concern,55.10%,2.14%,0.17%,3.40%,14.38%,0.01%,76.97%
40035,"Craig County, Oklahoma",OKLAHOMA,20.03%,26.36%,13.86%,0.85,Very High Vulnerability,0.82,Very High Concern,43.50%,3.70%,21.28%,0.83%,3.06%,0.08%,63.34%
40153,"Woodward County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.57,Moderate Vulnerability,0.52,Moderate Concern,32.30%,12.85%,1.65%,0.27%,1.27%,0.01%,79.84%
41049,"Morrow County, Oregon",OREGON,11.46%,14.31%,8.69%,0.76,High Vulnerability,0.52,Moderate Concern,46.90%,36.50%,0.50%,0.62%,0.23%,0.51%,59.26%
39147,"Seneca County, Ohio",OHIO,14.68%,20.64%,8.80%,0.38,Low Vulnerability,0.28,Low Concern,44.40%,5.12%,0.10%,0.62%,2.82%,0%,89.79%
39117,"Morrow County, Ohio",OHIO,15.86%,21.97%,9.61%,0.19,Very Low Vulnerability,0.32,Low Concern,38%,1.48%,0.11%,0.11%,0.89%,0%,95.93%
40075,"Kiowa County, Oklahoma",OKLAHOMA,17.60%,23.73%,12.16%,0.65,High Vulnerability,0.9,Very High Concern,46.40%,11.81%,4.75%,0.64%,3.40%,0.10%,74.22%
41009,"Columbia County, Oregon",OREGON,11.32%,14.14%,8.51%,0.4,Moderate Vulnerability,0.58,Moderate Concern,49.40%,5.16%,0.93%,0.98%,0.45%,0.17%,88.52%
40041,"Delaware County, Oklahoma",OKLAHOMA,20.03%,26.36%,13.86%,0.77,High Vulnerability,0.73,High Concern,27.30%,3.81%,21.94%,1.23%,0.46%,0.08%,63.71%
40089,"McCurtain County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.91,Very High Vulnerability,0.96,Very High Concern,26.80%,6.06%,12.31%,0.83%,7.87%,1.11%,62.06%
39173,"Wood County, Ohio",OHIO,12.52%,17.53%,7.41%,0.17,Very Low Vulnerability,0.08,Very Low Concern,57.30%,5.55%,0.15%,1.66%,2.57%,0.04%,88.29%
41063,"Wallowa County, Oregon",OREGON,11.48%,14.53%,8.80%,0.5,Moderate Vulnerability,0.51,Moderate Concern,53.60%,3.10%,1.06%,0.26%,0.17%,0.13%,92.93%
39161,"Van Wert County, Ohio",OHIO,13.41%,18.49%,7.98%,0.17,Very Low Vulnerability,0.16,Very Low Concern,26.40%,3.40%,0.01%,0.29%,1.31%,0%,93.91%
40027,"Cleveland County, Oklahoma",OKLAHOMA,16.51%,21.75%,11.23%,0.34,Low Vulnerability,0.38,Low Concern,42%,8.69%,3.85%,4.40%,4.63%,0.06%,71.73%
39139,"Richland County, Ohio",OHIO,15.32%,21.41%,9.33%,0.62,High Vulnerability,0.3,Low Concern,39.60%,1.91%,0.10%,0.79%,8.80%,0.02%,85.48%
40139,"Texas County, Oklahoma",OKLAHOMA,19.71%,25.77%,13.92%,0.82,Very High Vulnerability,0.78,High Concern,36.70%,45.91%,1.27%,3.32%,2.45%,0.02%,43.97%
39109,"Miami County, Ohio",OHIO,14.11%,19.56%,8.42%,0.12,Very Low Vulnerability,0.13,Very Low Concern,44%,1.68%,0.11%,1.25%,2.02%,0.01%,92.29%
41023,"Grant County, Oregon",OREGON,11.46%,14.31%,8.69%,0.55,Moderate Vulnerability,0.57,Moderate Concern,41.10%,3.78%,1.34%,0.77%,0.10%,0.24%,91.46%
41043,"Linn County, Oregon",OREGON,10.70%,13.45%,8.04%,0.68,High Vulnerability,0.56,Moderate Concern,47.10%,9.11%,0.71%,1.05%,0.49%,0.10%,84.91%
40083,"Logan County, Oklahoma",OKLAHOMA,19.05%,24.94%,13.24%,0.3,Low Vulnerability,0.49,Moderate Concern,26.80%,6.19%,3.48%,0.33%,8.16%,0.03%,77.65%
40113,"Osage County, Oklahoma",OKLAHOMA,18.71%,24.29%,13.03%,0.62,High Vulnerability,0.62,High Concern,23.80%,3.61%,12.36%,0.41%,11.11%,0.03%,63.38%
41033,"Josephine County, Oregon",OREGON,12.09%,15.37%,9.09%,0.66,High Vulnerability,0.5,Moderate Concern,41.80%,7.43%,1.08%,0.98%,0.46%,0.06%,86.90%
40019,"Carter County, Oklahoma",OKLAHOMA,20.75%,26.98%,14.52%,0.79,High Vulnerability,0.56,Moderate Concern,36.40%,7.28%,7.25%,1.24%,6.50%,0.04%,70.02%
39131,"Pike County, Ohio",OHIO,16.86%,23.37%,10.43%,0.8,High Vulnerability,0.34,Low Concern,39.20%,0.45%,0.54%,0.08%,1.67%,0%,95.18%
40061,"Haskell County, Oklahoma",OKLAHOMA,20.60%,27.15%,14.36%,0.87,Very High Vulnerability,0.85,Very High Concern,34.40%,4.41%,9.14%,0.71%,0.72%,0.02%,70.43%
40049,"Garvin County, Oklahoma",OKLAHOMA,20.75%,26.98%,14.52%,0.51,Moderate Vulnerability,0.5,Moderate Concern,41.40%,8.85%,5.35%,0.31%,2.19%,0%,75.51%
40105,"Nowata County, Oklahoma",OKLAHOMA,20.03%,26.36%,13.86%,0.59,Moderate Vulnerability,0.75,High Concern,30.50%,3.08%,15%,0.15%,2.45%,0.18%,66.72%
